,Business Day of Week,SCO Lanes,Lane Hours (hh:mm),Time Available (hh:mm),Avg. Available SCOs,% Time Occupied,% Idle Time,Total Basket Count,Avg. Basket Count Per Day,% Adequate Capacity,Deviation Adequate Capacity From Chain Avg.,% Capacity Exceeds Traffic,% Insufficient Lanes Open,% Traffic Exceeds Capacity
1,Monday,terminal01,32:00,18:41,04:40,13.0%,87.0%,24,6,0.00%,-100%,84.38%,0.65%,0.00%
2,Monday,terminal01,32:00,18:41,04:40,13.0%,87.0%,24,6,0.00%,-100%,84.38%,0.65%,0.00%
3,Monday,terminal02,32:00,14:00,03:30,0.5%,99.5%,8,2,0.00%,-100%,84.38%,0.65%,0.00%
4,Monday,terminal02,32:00,14:00,03:30,0.5%,99.5%,8,2,0.00%,-100%,84.38%,0.65%,0.00%
5,Monday,terminal03,32:00,07:21,01:50,73.1%,26.9%,6,2,0.00%,-100%,84.38%,0.65%,0.00%
6,Monday,terminal03,32:00,07:21,01:50,73.1%,26.9%,6,2,0.00%,-100%,84.38%,0.65%,0.00%
7,Monday,,96:00,40:02,10:00,19.7%,80.3%,38,3,0.00%,-100%,84.38%,0.65%,0.00%
8,Tuesday,terminal01,40:00,12:08,02:25,10.0%,90.0%,25,5,2.50%,538%,95.00%,0.10%,0.00%
9,Tuesday,terminal01,40:00,12:08,02:25,10.0%,90.0%,25,5,2.50%,538%,95.00%,0.10%,0.00%
10,Tuesday,terminal02,40:00,06:20,01:16,2.8%,97.2%,4,1,2.50%,538%,95.00%,0.10%,0.00%
11,Tuesday,terminal02,40:00,06:20,01:16,2.8%,97.2%,4,1,2.50%,538%,95.00%,0.10%,0.00%
12,Tuesday,terminal03,40:00,09:18,01:51,0.1%,99.9%,2,0,2.50%,538%,95.00%,0.10%,0.00%
13,Tuesday,terminal03,40:00,09:18,01:51,0.1%,99.9%,2,0,2.50%,538%,95.00%,0.10%,0.00%
14,Tuesday,,120:00,27:46,05:33,5.0%,95.0%,31,2,2.50%,538%,95.00%,0.10%,0.00%
