,Business Date,% Adequate Capacity,% Chain Adequate Capacity Avg
1,12/01/21,0.00%,0.00%
2,12/02/21,0.00%,0.00%
3,12/03/21,0.00%,0.00%
4,12/04/21,0.00%,0.00%
5,12/05/21,0.00%,0.00%
6,12/06/21,0.00%,0.00%
7,12/07/21,0.00%,0.00%
8,12/08/21,0.00%,0.00%
9,12/09/21,0.00%,0.00%
10,12/10/21,0.00%,0.00%
11,12/11/21,0.00%,0.00%
12,12/12/21,0.00%,0.00%
13,12/13/21,0.00%,0.00%
14,12/14/21,0.00%,0.00%
15,12/15/21,0.00%,0.00%
16,12/16/21,0.00%,0.00%
17,12/17/21,0.00%,0.00%
18,12/18/21,0.00%,0.00%
19,12/19/21,0.00%,0.00%
20,12/20/21,0.00%,0.00%
21,12/21/21,0.00%,0.00%
22,12/22/21,0.00%,0.00%
23,12/23/21,0.00%,0.00%
24,12/24/21,0.00%,0.00%
25,12/25/21,0.00%,0.00%
26,12/26/21,0.00%,0.00%
27,12/27/21,0.00%,0.00%
28,12/28/21,0.00%,0.00%
29,12/29/21,0.00%,0.00%
30,12/30/21,0.00%,0.00%
31,12/31/21,0.00%,0.00%
32,01/01/22,0.00%,0.00%
33,01/02/22,0.00%,0.00%
34,01/03/22,0.00%,0.00%
35,01/04/22,0.00%,0.00%
36,01/05/22,0.00%,0.00%
37,01/06/22,0.00%,0.00%
38,01/07/22,0.00%,0.00%
39,01/08/22,0.00%,0.00%
40,01/09/22,0.00%,0.00%
41,01/10/22,0.00%,0.00%
42,01/11/22,0.00%,0.00%
43,01/12/22,0.00%,0.00%
44,01/13/22,0.00%,0.00%
45,01/14/22,0.00%,0.00%
46,01/15/22,0.00%,0.00%
47,01/16/22,0.00%,0.00%
48,01/17/22,0.00%,0.00%
49,01/18/22,0.00%,0.00%
50,01/19/22,0.00%,0.00%
51,01/20/22,0.00%,0.00%
52,01/21/22,0.00%,0.00%
53,01/22/22,0.00%,0.00%
54,01/23/22,0.00%,0.00%
55,01/24/22,0.00%,0.00%
56,01/25/22,0.00%,0.00%
57,01/26/22,0.00%,0.00%
58,01/27/22,0.00%,0.00%
59,01/28/22,0.00%,0.00%
60,01/29/22,0.00%,0.00%
61,01/30/22,0.00%,0.00%
62,01/31/22,0.00%,0.00%
63,02/01/22,0.00%,0.00%
64,02/02/22,0.00%,0.00%
65,02/03/22,0.00%,0.00%
66,02/04/22,0.00%,0.00%
67,02/05/22,0.00%,0.00%
68,02/06/22,0.00%,0.00%
69,02/07/22,0.00%,0.00%
70,02/08/22,0.00%,0.00%
71,02/09/22,0.00%,0.00%
72,02/10/22,0.00%,0.00%
73,02/11/22,0.00%,0.00%
74,02/12/22,0.00%,0.00%
75,02/13/22,0.00%,0.00%
76,02/14/22,0.00%,0.00%
77,02/15/22,0.00%,0.00%
78,02/16/22,0.00%,0.00%
79,02/17/22,0.00%,0.00%
80,02/18/22,0.00%,0.00%
81,02/19/22,0.00%,0.00%
82,02/20/22,0.00%,0.00%
83,02/21/22,0.00%,0.00%
84,02/22/22,0.00%,0.00%
85,02/23/22,0.00%,0.00%
86,02/24/22,0.00%,0.00%
87,02/25/22,0.00%,0.00%
88,02/26/22,0.00%,0.00%
89,02/27/22,0.00%,0.00%
90,02/28/22,0.00%,0.00%
91,03/01/22,0.00%,0.00%
92,03/02/22,0.00%,0.00%
93,03/03/22,0.00%,0.00%
94,03/04/22,0.00%,0.00%
95,03/05/22,0.00%,0.00%
96,03/06/22,0.00%,0.00%
97,03/07/22,0.00%,0.00%
98,03/08/22,0.00%,0.00%
99,03/09/22,0.00%,0.00%
100,03/10/22,0.00%,0.00%
101,03/11/22,0.00%,0.00%
102,03/12/22,0.00%,0.00%
103,03/13/22,0.00%,0.00%
104,03/14/22,0.00%,0.00%
105,03/15/22,0.00%,0.00%
106,03/16/22,0.00%,0.00%
107,03/17/22,0.00%,0.00%
108,03/18/22,0.00%,0.00%
109,03/19/22,0.00%,0.00%
110,03/20/22,0.00%,0.00%
111,03/21/22,0.00%,0.00%
112,03/22/22,0.00%,0.00%
113,03/23/22,0.00%,0.00%
114,03/24/22,0.00%,0.00%
115,03/25/22,0.00%,0.00%
116,03/26/22,0.00%,0.00%
117,03/27/22,0.00%,0.00%
118,03/28/22,0.00%,0.00%
119,03/29/22,0.00%,0.00%
120,03/30/22,0.00%,0.00%
121,03/31/22,0.00%,0.00%
122,04/01/22,0.00%,0.00%
123,04/02/22,0.00%,0.00%
124,04/03/22,0.00%,0.00%
125,04/04/22,0.00%,0.00%
126,04/05/22,0.00%,0.00%
127,04/06/22,0.00%,0.00%
128,04/07/22,0.00%,0.00%
129,04/08/22,0.00%,0.00%
130,04/09/22,0.00%,0.00%
131,04/10/22,0.00%,0.00%
132,04/11/22,0.00%,0.00%
133,04/12/22,0.00%,0.00%
134,04/13/22,0.00%,0.00%
