,Business Date,% Adequate Capacity,% Chain Adequate Capacity Avg
1,08/21/22,0.00%,0.00%
2,08/22/22,0.00%,0.00%
3,08/23/22,0.00%,0.00%
4,08/24/22,0.00%,0.00%
5,08/25/22,0.00%,0.00%
6,08/26/22,0.00%,0.00%
7,08/27/22,0.00%,0.00%
8,08/28/22,0.00%,0.00%
9,08/29/22,0.00%,0.00%
10,08/30/22,0.00%,0.00%
11,08/31/22,0.00%,0.00%
12,09/01/22,0.00%,0.00%
13,09/02/22,0.00%,0.00%
14,09/03/22,0.00%,0.00%
15,09/04/22,0.00%,0.00%
16,09/05/22,0.00%,0.00%
17,09/06/22,0.00%,0.00%
18,09/07/22,0.00%,0.00%
19,09/08/22,0.00%,0.00%
20,09/09/22,0.00%,0.00%
21,09/10/22,0.00%,0.00%
22,09/11/22,0.00%,0.00%
23,09/12/22,0.00%,0.00%
24,09/13/22,0.00%,0.00%
25,09/14/22,0.00%,0.00%
26,09/15/22,0.00%,0.00%
27,09/16/22,0.00%,0.00%
28,09/17/22,0.00%,0.00%
29,09/18/22,0.00%,0.00%
30,09/19/22,0.00%,0.00%
31,09/20/22,50.00%,44.44%
32,09/21/22,0.00%,0.00%
33,09/22/22,0.00%,0.00%
34,09/23/22,0.00%,0.00%
35,09/24/22,0.00%,0.00%
36,09/25/22,0.00%,0.00%
37,09/26/22,0.00%,0.00%
38,09/27/22,0.00%,0.00%
39,09/28/22,37.50%,33.33%
40,09/29/22,0.00%,0.00%
41,09/30/22,0.00%,0.00%
42,10/01/22,0.00%,0.00%
43,10/02/22,0.00%,0.00%
44,10/03/22,0.00%,0.00%
45,10/04/22,37.50%,33.33%
46,10/05/22,0.00%,0.00%
47,10/06/22,0.00%,0.00%
48,10/07/22,0.00%,0.00%
49,10/08/22,0.00%,0.00%
50,10/09/22,0.00%,0.00%
51,10/10/22,0.00%,0.00%
52,10/11/22,12.50%,11.11%
53,10/12/22,0.00%,0.00%
54,10/13/22,0.00%,0.00%
55,10/14/22,0.00%,0.00%
56,10/15/22,0.00%,0.00%
57,10/16/22,0.00%,0.00%
58,10/17/22,12.50%,11.11%
59,10/18/22,0.00%,0.00%
60,10/19/22,0.00%,0.00%
61,10/20/22,25.00%,11.76%
62,10/21/22,0.00%,0.00%
63,10/22/22,0.00%,0.00%
64,10/23/22,0.00%,0.00%
65,10/24/22,0.00%,0.00%
66,10/25/22,12.50%,5.88%
67,10/26/22,0.00%,0.00%
68,10/27/22,0.00%,0.00%
69,10/28/22,0.00%,0.00%
70,10/29/22,0.00%,0.00%
71,10/30/22,0.00%,0.00%
72,10/31/22,0.00%,0.00%
73,11/01/22,0.00%,0.00%
74,11/02/22,0.00%,0.00%
75,11/03/22,0.00%,0.00%
76,11/04/22,0.00%,0.00%
77,11/05/22,0.00%,0.00%
78,11/06/22,0.00%,0.00%
79,11/07/22,0.00%,0.00%
80,11/08/22,0.00%,0.00%
81,11/09/22,0.00%,0.00%
82,11/10/22,12.50%,5.88%
83,11/11/22,0.00%,0.00%
84,11/12/22,0.00%,0.00%
85,11/13/22,0.00%,0.00%
86,11/14/22,0.00%,0.00%
87,11/15/22,12.50%,5.88%
88,11/16/22,0.00%,0.00%
89,11/17/22,0.00%,0.00%
90,11/18/22,0.00%,0.00%
91,11/19/22,0.00%,0.00%
92,11/20/22,0.00%,0.00%
93,11/21/22,0.00%,0.00%
94,11/22/22,0.00%,0.00%
95,11/23/22,0.00%,0.00%
96,11/24/22,0.00%,0.00%
97,11/25/22,0.00%,0.00%
98,11/26/22,0.00%,0.00%
99,11/27/22,0.00%,0.00%
100,11/28/22,0.00%,0.00%
101,11/29/22,0.00%,0.00%
102,11/30/22,0.00%,0.00%
103,12/01/22,0.00%,0.00%
104,12/02/22,0.00%,0.00%
105,12/03/22,0.00%,0.00%
106,12/04/22,0.00%,0.00%
